image,field,truth,pred,correct,crop_path,debug_path
d9fe27170b308a6ed321.jpg,ma_de,213,213,True,data\eval_artifacts\d9fe27170b308a6ed321\crops\ma_de.png,data\id_code_debug\d9fe27170b308a6ed321\ma_de_debug.png
e42559f375d4f48aadc5.jpg,mssv,22012467,2201???7,False,data\eval_artifacts\e42559f375d4f48aadc5\crops\mssv.png,data\id_code_debug\e42559f375d4f48aadc5\mssv_debug.png
e42559f375d4f48aadc5.jpg,ma_de,213,213,True,data\eval_artifacts\e42559f375d4f48aadc5\crops\ma_de.png,data\id_code_debug\e42559f375d4f48aadc5\ma_de_debug.png
020c2de101c68098d9d7.jpg,mssv,12025946,12025946,True,data\eval_artifacts\020c2de101c68098d9d7\crops\mssv.png,data\id_code_debug\020c2de101c68098d9d7\mssv_debug.png
020c2de101c68098d9d7.jpg,ma_de,968,968,True,data\eval_artifacts\020c2de101c68098d9d7\crops\ma_de.png,data\id_code_debug\020c2de101c68098d9d7\ma_de_debug.png
1567c1e9ecce6d9034df.jpg,mssv,12025946,12025946,True,data\eval_artifacts\1567c1e9ecce6d9034df\crops\mssv.png,data\id_code_debug\1567c1e9ecce6d9034df\mssv_debug.png
1567c1e9ecce6d9034df.jpg,ma_de,968,968,True,data\eval_artifacts\1567c1e9ecce6d9034df\crops\ma_de.png,data\id_code_debug\1567c1e9ecce6d9034df\ma_de_debug.png
19859f7bb35c32026b4d.jpg,mssv,12025946,12025946,True,data\eval_artifacts\19859f7bb35c32026b4d\crops\mssv.png,data\id_code_debug\19859f7bb35c32026b4d\mssv_debug.png
19859f7bb35c32026b4d.jpg,ma_de,968,968,True,data\eval_artifacts\19859f7bb35c32026b4d\crops\ma_de.png,data\id_code_debug\19859f7bb35c32026b4d\ma_de_debug.png
502b9fc8b3ef32b16bfe.jpg,mssv,12025946,12025946,True,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\mssv.png,data\id_code_debug\502b9fc8b3ef32b16bfe\mssv_debug.png
502b9fc8b3ef32b16bfe.jpg,ma_de,968,908,False,data\eval_artifacts\502b9fc8b3ef32b16bfe\crops\ma_de.png,data\id_code_debug\502b9fc8b3ef32b16bfe\ma_de_debug.png
d2d96838441fc5419c0e.jpg,mssv,12025946,12025946,True,data\eval_artifacts\d2d96838441fc5419c0e\crops\mssv.png,data\id_code_debug\d2d96838441fc5419c0e\mssv_debug.png
d2d96838441fc5419c0e.jpg,ma_de,968,?0?,False,data\eval_artifacts\d2d96838441fc5419c0e\crops\ma_de.png,data\id_code_debug\d2d96838441fc5419c0e\ma_de_debug.png
14405a4e7669f737ae78.jpg,mssv,41739528,41739528,True,data\eval_artifacts\14405a4e7669f737ae78\crops\mssv.png,data\id_code_debug\14405a4e7669f737ae78\mssv_debug.png
14405a4e7669f737ae78.jpg,ma_de,408,408,True,data\eval_artifacts\14405a4e7669f737ae78\crops\ma_de.png,data\id_code_debug\14405a4e7669f737ae78\ma_de_debug.png
7126b2d39ef41faa46e5.jpg,mssv,41739528,41739528,True,data\eval_artifacts\7126b2d39ef41faa46e5\crops\mssv.png,data\id_code_debug\7126b2d39ef41faa46e5\mssv_debug.png
7126b2d39ef41faa46e5.jpg,ma_de,408,408,True,data\eval_artifacts\7126b2d39ef41faa46e5\crops\ma_de.png,data\id_code_debug\7126b2d39ef41faa46e5\ma_de_debug.png
78f60bfa27dda683ffcc.jpg,mssv,41739528,41739528,True,data\eval_artifacts\78f60bfa27dda683ffcc\crops\mssv.png,data\id_code_debug\78f60bfa27dda683ffcc\mssv_debug.png
78f60bfa27dda683ffcc.jpg,ma_de,408,?08,False,data\eval_artifacts\78f60bfa27dda683ffcc\crops\ma_de.png,data\id_code_debug\78f60bfa27dda683ffcc\ma_de_debug.png
f302a400882709795036.jpg,mssv,41739528,41739528,True,data\eval_artifacts\f302a400882709795036\crops\mssv.png,data\id_code_debug\f302a400882709795036\mssv_debug.png
f302a400882709795036.jpg,ma_de,408,408,True,data\eval_artifacts\f302a400882709795036\crops\ma_de.png,data\id_code_debug\f302a400882709795036\ma_de_debug.png
5164e260ce474f191656.jpg,mssv,50712964,50712964,True,data\eval_artifacts\5164e260ce474f191656\crops\mssv.png,data\id_code_debug\5164e260ce474f191656\mssv_debug.png
5164e260ce474f191656.jpg,ma_de,517,517,True,data\eval_artifacts\5164e260ce474f191656\crops\ma_de.png,data\id_code_debug\5164e260ce474f191656\ma_de_debug.png
5c6dd96ef54974172d58.jpg,mssv,50712964,50712964,True,data\eval_artifacts\5c6dd96ef54974172d58\crops\mssv.png,data\id_code_debug\5c6dd96ef54974172d58\mssv_debug.png
5c6dd96ef54974172d58.jpg,ma_de,517,517,True,data\eval_artifacts\5c6dd96ef54974172d58\crops\ma_de.png,data\id_code_debug\5c6dd96ef54974172d58\ma_de_debug.png
b9ddbcd990fe11a048ef.jpg,mssv,50712964,50712964,True,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,data\id_code_debug\b9ddbcd990fe11a048ef\mssv_debug.png
b9ddbcd990fe11a048ef.jpg,ma_de,517,517,True,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\ma_de.png,data\id_code_debug\b9ddbcd990fe11a048ef\ma_de_debug.png
41ed75cd59ead8b481fb.jpg,mssv,36128594,36128594,True,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,data\id_code_debug\41ed75cd59ead8b481fb\mssv_debug.png
41ed75cd59ead8b481fb.jpg,ma_de,593,593,True,data\eval_artifacts\41ed75cd59ead8b481fb\crops\ma_de.png,data\id_code_debug\41ed75cd59ead8b481fb\ma_de_debug.png
48fa0df221d5a08bf9c4.jpg,mssv,36128594,36128594,True,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,data\id_code_debug\48fa0df221d5a08bf9c4\mssv_debug.png
48fa0df221d5a08bf9c4.jpg,ma_de,593,5?3,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\ma_de.png,data\id_code_debug\48fa0df221d5a08bf9c4\ma_de_debug.png
69ce96efbac83b9662d9.jpg,mssv,36128594,36128594,True,data\eval_artifacts\69ce96efbac83b9662d9\crops\mssv.png,data\id_code_debug\69ce96efbac83b9662d9\mssv_debug.png
69ce96efbac83b9662d9.jpg,ma_de,593,5?3,False,data\eval_artifacts\69ce96efbac83b9662d9\crops\ma_de.png,data\id_code_debug\69ce96efbac83b9662d9\ma_de_debug.png
df7a73f65ed1df8f86c0.jpg,mssv,36128594,361285?4,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\mssv.png,data\id_code_debug\df7a73f65ed1df8f86c0\mssv_debug.png
df7a73f65ed1df8f86c0.jpg,ma_de,593,5?3,False,data\eval_artifacts\df7a73f65ed1df8f86c0\crops\ma_de.png,data\id_code_debug\df7a73f65ed1df8f86c0\ma_de_debug.png
13f0147f3958b806e149.jpg,mssv,72405916,72405916,True,data\eval_artifacts\13f0147f3958b806e149\crops\mssv.png,data\id_code_debug\13f0147f3958b806e149\mssv_debug.png
13f0147f3958b806e149.jpg,ma_de,725,725,True,data\eval_artifacts\13f0147f3958b806e149\crops\ma_de.png,data\id_code_debug\13f0147f3958b806e149\ma_de_debug.png
46c379db55fcd4a28ded.jpg,mssv,72405916,72405916,True,data\eval_artifacts\46c379db55fcd4a28ded\crops\mssv.png,data\id_code_debug\46c379db55fcd4a28ded\mssv_debug.png
46c379db55fcd4a28ded.jpg,ma_de,725,725,True,data\eval_artifacts\46c379db55fcd4a28ded\crops\ma_de.png,data\id_code_debug\46c379db55fcd4a28ded\ma_de_debug.png
e34fc149ed6e6c30357f.jpg,mssv,72405916,72405916,True,data\eval_artifacts\e34fc149ed6e6c30357f\crops\mssv.png,data\id_code_debug\e34fc149ed6e6c30357f\mssv_debug.png
e34fc149ed6e6c30357f.jpg,ma_de,725,725,True,data\eval_artifacts\e34fc149ed6e6c30357f\crops\ma_de.png,data\id_code_debug\e34fc149ed6e6c30357f\ma_de_debug.png
e661ce65e242631c3a53.jpg,mssv,72405916,72405916,True,data\eval_artifacts\e661ce65e242631c3a53\crops\mssv.png,data\id_code_debug\e661ce65e242631c3a53\mssv_debug.png
e661ce65e242631c3a53.jpg,ma_de,725,725,True,data\eval_artifacts\e661ce65e242631c3a53\crops\ma_de.png,data\id_code_debug\e661ce65e242631c3a53\ma_de_debug.png
